iter	Passed	Remaining
0	15	15441
1	20	10181
2	24	8255
3	29	7366
4	35	6982
5	39	6533
6	43	6239
7	50	6213
8	55	6071
9	60	5973
10	66	5977
11	71	5884
12	76	5815
13	82	5805
14	87	5728
15	91	5657
16	98	5688
17	103	5638
18	108	5611
19	114	5625
20	119	5582
21	125	5593
22	131	5585
23	136	5549
24	141	5507
25	147	5519
26	152	5480
27	156	5446
28	162	5446
29	167	5414
30	172	5384
31	178	5389
32	183	5379
33	189	5377
34	195	5378
35	199	5353
36	204	5331
37	210	5341
38	216	5328
39	220	5301
40	226	5309
41	234	5338
42	240	5346
43	246	5345
44	251	5339
45	258	5351
46	263	5351
47	269	5346
48	276	5363
49	282	5358
50	287	5343
51	292	5336
52	297	5317
53	302	5296
54	309	5310
55	313	5290
56	318	5264
57	324	5276
58	329	5247
59	333	5221
60	340	5234
61	345	5221
62	350	5206
63	356	5212
64	361	5199
65	366	5182
66	372	5184
67	376	5163
68	380	5138
69	386	5139
70	391	5120
71	395	5098
72	400	5090
73	405	5072
74	409	5053
75	414	5037
76	420	5037
77	424	5021
78	429	5005
79	434	5001
80	439	4989
81	444	4975
82	449	4965
83	454	4958
84	459	4942
85	463	4925
86	469	4927
87	473	4911
88	478	4900
89	484	4896
90	488	4880
91	494	4876
92	499	4873
93	504	4859
94	509	4851
95	517	4875
96	523	4872
97	528	4864
98	535	4872
99	540	4863
100	545	4858
101	550	4849
102	556	4842
103	561	4836
104	566	4828
105	571	4816
106	576	4808
107	582	4807
108	586	4792
109	591	4781
110	596	4778
111	600	4760
112	605	4749
113	611	4750
114	616	4746
115	621	4739
116	626	4729
117	631	4723
118	637	4718
119	643	4720
120	649	4721
121	654	4708
122	660	4706
123	665	4698
124	669	4687
125	676	4689
126	681	4686
127	690	4707
128	701	4735
129	713	4775
130	721	4787
131	733	4825
132	741	4831
133	748	4835
134	754	4833
135	766	4867
136	774	4875
137	785	4906
138	798	4944
139	809	4972
140	818	4985
141	827	5000
142	832	4986
143	838	4983
144	847	4999
145	855	5006
146	865	5020
147	874	5031
148	883	5048
149	893	5064
150	905	5090
151	917	5119
152	929	5147
153	944	5187
154	956	5212
155	969	5246
156	980	5266
157	993	5292
158	1008	5333
159	1019	5351
160	1029	5366
161	1037	5366
162	1046	5372
163	1055	5381
164	1066	5395
165	1073	5394
166	1081	5395
167	1089	5395
168	1100	5412
169	1109	5415
170	1119	5428
171	1126	5422
172	1134	5423
173	1140	5411
174	1146	5407
175	1152	5394
176	1156	5379
177	1162	5368
178	1166	5352
179	1172	5339
180	1177	5328
181	1181	5311
182	1186	5296
183	1190	5279
184	1195	5267
185	1200	5254
186	1204	5238
187	1210	5226
188	1215	5217
189	1220	5202
190	1226	5192
191	1230	5177
192	1234	5161
193	1238	5145
194	1245	5140
195	1251	5133
196	1256	5120
197	1262	5115
198	1268	5106
199	1274	5096
200	1280	5088
201	1285	5076
202	1290	5067
203	1295	5053
204	1299	5039
205	1303	5025
206	1310	5020
207	1314	5005
208	1319	4992
209	1324	4982
210	1328	4968
211	1332	4953
212	1337	4941
213	1343	4933
214	1347	4920
215	1352	4908
216	1357	4899
217	1362	4887
218	1366	4874
219	1372	4867
220	1378	4857
221	1383	4848
222	1389	4842
223	1394	4830
224	1400	4822
225	1406	4817
226	1412	4809
227	1416	4797
228	1423	4793
229	1430	4787
230	1437	4786
231	1444	4780
232	1449	4771
233	1454	4762
234	1459	4749
235	1463	4736
236	1468	4727
237	1472	4715
238	1477	4703
239	1481	4691
240	1486	4682
241	1490	4670
242	1495	4657
243	1501	4651
244	1509	4652
245	1514	4642
246	1519	4633
247	1524	4622
248	1528	4610
249	1534	4602
250	1538	4590
251	1542	4578
252	1546	4566
253	1551	4556
254	1555	4545
255	1560	4535
256	1565	4527
257	1570	4516
258	1575	4507
259	1580	4499
260	1585	4489
261	1590	4478
262	1594	4469
263	1599	4459
264	1604	4449
265	1608	4438
266	1613	4430
267	1618	4420
268	1622	4409
269	1628	4401
270	1632	4391
271	1636	4381
272	1641	4370
273	1646	4362
274	1651	4353
275	1655	4343
276	1660	4335
277	1665	4326
278	1670	4315
279	1674	4305
280	1679	4298
281	1684	4289
282	1689	4281
283	1695	4275
284	1700	4266
285	1705	4257
286	1711	4251
287	1715	4240
288	1719	4231
289	1725	4223
290	1730	4215
291	1735	4206
292	1741	4201
293	1746	4193
294	1751	4185
295	1757	4179
296	1762	4171
297	1766	4161
298	1771	4153
299	1777	4146
300	1781	4137
301	1786	4128
302	1791	4120
303	1795	4110
304	1799	4100
305	1805	4094
306	1810	4086
307	1815	4079
308	1821	4074
309	1826	4066
310	1831	4057
311	1837	4052
312	1842	4044
313	1847	4035
314	1851	4026
315	1857	4020
316	1862	4012
317	1866	4003
318	1872	3996
319	1876	3987
320	1881	3980
321	1887	3974
322	1892	3966
323	1896	3956
324	1900	3947
325	1905	3940
326	1910	3931
327	1914	3922
328	1920	3916
329	1924	3908
330	1929	3898
331	1934	3892
332	1938	3883
333	1943	3874
334	1947	3866
335	1954	3861
336	1959	3855
337	1965	3850
338	1971	3843
339	1976	3836
340	1982	3831
341	1988	3824
342	1994	3820
343	2000	3814
344	2005	3807
345	2011	3801
346	2017	3796
347	2022	3788
348	2027	3782
349	2033	3777
350	2039	3770
351	2045	3765
352	2051	3760
353	2056	3753
354	2062	3748
355	2068	3741
356	2073	3734
357	2078	3727
358	2083	3719
359	2087	3710
360	2091	3702
361	2096	3695
362	2101	3687
363	2105	3678
364	2110	3671
365	2115	3664
366	2119	3655
367	2123	3646
368	2128	3640
369	2133	3631
370	2137	3624
371	2142	3616
372	2147	3609
373	2151	3601
374	2156	3593
375	2161	3587
376	2165	3578
377	2171	3573
378	2177	3567
379	2181	3558
380	2186	3552
381	2192	3547
382	2197	3540
383	2204	3536
384	2209	3529
385	2214	3521
386	2218	3514
387	2223	3506
388	2228	3500
389	2232	3492
390	2237	3484
391	2242	3478
392	2247	3470
393	2251	3462
394	2256	3456
395	2261	3448
396	2265	3441
397	2270	3434
398	2277	3430
399	2282	3424
400	2288	3418
401	2294	3412
402	2298	3405
403	2303	3398
404	2310	3394
405	2315	3387
406	2322	3383
407	2327	3377
408	2332	3370
409	2338	3365
410	2344	3359
411	2349	3352
412	2355	3347
413	2360	3341
414	2365	3334
415	2372	3329
416	2376	3322
417	2381	3316
418	2388	3311
419	2393	3305
420	2398	3299
421	2404	3294
422	2410	3288
423	2417	3284
424	2424	3280
425	2430	3274
426	2437	3270
427	2443	3265
428	2449	3260
429	2457	3257
430	2463	3252
431	2471	3249
432	2477	3244
433	2486	3242
434	2492	3237
435	2500	3234
436	2507	3229
437	2514	3226
438	2522	3223
439	2533	3224
440	2539	3219
441	2548	3216
442	2554	3211
443	2559	3204
444	2568	3202
445	2573	3196
446	2580	3192
447	2585	3186
448	2590	3179
449	2597	3174
450	2602	3167
451	2606	3160
452	2613	3155
453	2618	3149
454	2623	3142
455	2629	3137
456	2634	3130
457	2639	3123
458	2646	3119
459	2651	3112
460	2655	3105
461	2662	3100
462	2667	3093
463	2672	3087
464	2679	3082
465	2683	3075
466	2688	3068
467	2694	3063
468	2699	3056
469	2704	3049
470	2710	3044
471	2716	3038
472	2720	3031
473	2727	3026
474	2731	3019
475	2737	3013
476	2744	3008
477	2749	3002
478	2753	2995
479	2760	2990
480	2764	2983
481	2769	2976
482	2775	2971
483	2780	2964
484	2784	2956
485	2790	2951
486	2796	2946
487	2801	2938
488	2808	2934
489	2812	2927
490	2817	2921
491	2823	2915
492	2828	2908
493	2832	2901
494	2839	2896
495	2844	2890
496	2850	2884
497	2856	2879
498	2861	2872
499	2866	2866
500	2872	2861
501	2878	2855
502	2885	2851
503	2892	2846
504	2897	2839
505	2904	2835
506	2908	2828
507	2913	2821
508	2920	2816
509	2924	2810
510	2929	2803
511	2936	2798
512	2940	2791
513	2945	2785
514	2952	2780
515	2957	2773
516	2961	2766
517	2968	2762
518	2973	2755
519	2978	2749
520	2984	2744
521	2989	2737
522	2994	2730
523	3000	2725
524	3004	2718
525	3009	2712
526	3016	2707
527	3020	2700
528	3025	2693
529	3031	2688
530	3035	2681
531	3040	2674
532	3047	2669
533	3051	2662
534	3056	2656
535	3064	2652
536	3069	2646
537	3073	2639
538	3079	2634
539	3087	2630
540	3095	2626
541	3104	2623
542	3118	2624
543	3127	2621
544	3134	2616
545	3141	2611
546	3151	2610
547	3163	2609
548	3169	2603
549	3176	2599
550	3181	2592
551	3186	2586
552	3194	2582
553	3200	2576
554	3214	2577
555	3224	2574
556	3232	2570
557	3241	2567
558	3248	2562
559	3257	2559
560	3266	2555
561	3274	2552
562	3300	2561
563	3318	2565
564	3328	2562
565	3343	2563
566	3353	2561
567	3361	2556
568	3369	2552
569	3380	2550
570	3395	2551
571	3406	2549
572	3417	2546
573	3426	2543
574	3440	2542
575	3447	2537
576	3461	2537
577	3469	2533
578	3476	2527
579	3485	2523
580	3493	2519
581	3501	2514
582	3511	2511
583	3519	2506
584	3527	2502
585	3549	2507
586	3560	2504
587	3569	2500
588	3575	2495
589	3585	2491
590	3592	2485
591	3599	2480
592	3606	2475
593	3615	2471
594	3622	2465
595	3627	2458
596	3634	2453
597	3640	2447
598	3646	2440
599	3651	2434
600	3656	2427
601	3662	2421
602	3669	2415
603	3676	2410
604	3682	2404
605	3687	2397
606	3694	2392
607	3703	2387
608	3709	2381
609	3715	2375
610	3720	2368
611	3728	2364
612	3736	2359
613	3743	2353
614	3748	2346
615	3754	2340
616	3760	2334
617	3766	2328
618	3772	2322
619	3779	2316
620	3784	2309
621	3789	2303
622	3795	2296
623	3800	2289
624	3805	2283
625	3811	2276
626	3816	2270
627	3822	2264
628	3828	2258
629	3833	2251
630	3838	2244
631	3843	2238
632	3848	2231
633	3853	2224
634	3859	2218
635	3865	2212
636	3871	2206
637	3876	2199
638	3883	2193
639	3890	2188
640	3895	2181
641	3899	2174
642	3912	2172
643	3917	2165
644	3923	2159
645	3928	2152
646	3933	2145
647	3939	2140
648	3944	2133
649	3949	2126
650	3955	2120
651	3960	2114
652	3966	2107
653	3972	2101
654	3977	2095
655	3984	2089
656	3989	2082
657	3993	2075
658	3999	2069
659	4004	2062
660	4008	2055
661	4013	2049
662	4019	2043
663	4024	2036
664	4029	2029
665	4035	2024
666	4040	2017
667	4045	2010
668	4051	2004
669	4055	1997
670	4060	1991
671	4067	1985
672	4072	1978
673	4076	1971
674	4082	1965
675	4086	1958
676	4091	1951
